username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Estefan Escobar Cortez,26913866,"Denver, CO",2009-03-27 01:31:53,"@Reuters Climate change, amiright?",0,Twitter for iPhone,
Rich Halvey,2644973907,Denver,2014-06-26 21:11:53,"@SwiftHitter Don't forget that there was no holocaust in WWII. And children are being abused in pizzerias. Oh, climate change is a hoax.",0,Twitter Web App,
Phil Ord ⚛️⚡,3241582734,"Denver, CO",2015-06-10 19:24:08,Me to the useless media and politicians talking about climate change and energy. https://t.co/QnSFieLPJK,2,Twitter Web App,
Shawn Lerch,814712925164224512,"Denver, CO",2016-12-30 06:01:12,@jordanbpeterson It’s called COMMUNISM…their answer to “Climate Change” is communism. That’s how you know the whole… https://t.co/IFi08bHSvH,0,Twitter for iPhone,
Kevin (No not that one),409714282,Denver,2011-11-11 03:48:14,"@torisuemagoo Crop being affected by extreme weather is 100% a thing, though...plenty of things I buy/source have b… https://t.co/QptK59LS7v",0,Twitter Web App,
David Fiore,31508755,"Denver, CO",2009-04-15 20:24:41,"@FoxNews Better headline, Gore has a history of false climate predictions!!  No hockey stick, no global warming, ju… https://t.co/8kKwcSYuc1",0,Twitter for iPhone,
David,1602488752412119040,"Denver, CO",2022-12-13 02:21:16,@BianchiWeather @denspark85 Nobody said climate change,0,Twitter for iPhone,
Chris Bianchi,272989565,"Denver, CO ",2011-03-27 16:01:09,"@Davidb456 @denspark85 it wouldn't be a cold weather post without a stupid mandatory ""what climate change"" response",0,TweetDeck,
Togbe Dzata 1st,248324871,My Den,2011-02-06 19:17:28,@moadpo21 @SeanReezy25 They would be stupidly shouting climate change soon.,0,Twitter for Android,
mass exodus,365718584,denver,2011-08-31 22:20:36,@cmcarlson @JReinerMD If rising ocean levels is “evidence”of climate change. Why can’t an increase in heart problem… https://t.co/8t1B9MOIkK,0,Twitter for iPhone,
James Collins,881687953516281857,"Denver, CO",2017-07-03 01:36:03,"@JradRabel The biggest improvement for mental health would be to do away with the gender-bending ideology, critical… https://t.co/lvchH2KJIv",0,Twitter for iPhone,
mass exodus,365718584,denver,2011-08-31 22:20:36,"@cmcarlson @JReinerMD By that logic, a mere increase in temp doenst prove there is climate change.",0,Twitter for iPhone,
Dave Krysl,60795370,"Denver, CO",2009-07-28 03:16:13,It seems to me that both political parties do an absolutely horrible and embarrassing job of coming up with solutio… https://t.co/1jh0ogFPJO,0,Twitter for iPhone,
Phil Ord ⚛️⚡,3241582734,"Denver, CO",2015-06-10 19:24:08,@tecloam And hippies won the war on nuclear energy but screwed over the future from climate change.,0,Twitter for iPhone,
Jane Feldman,428366900,"Denver, CO",2011-12-04 17:37:16,"@SenateGOP Actually we have an infrastructure law, low unemployment, lower health care costs, caps on prescrip. dru… https://t.co/4QvK76Gm3L",3,Twitter Web App,
Phil Ord ⚛️⚡,3241582734,"Denver, CO",2015-06-10 19:24:08,It’s time to stigmatize any climate change conversations that leave out the word #nuclearpower. Like this shit wher… https://t.co/33y0k4uYLL,23,Twitter for iPhone,
Phil Ord ⚛️⚡,3241582734,"Denver, CO",2015-06-10 19:24:08,"As someone who believe in promoting science, and fighting climate change with the best technology we have, there is… https://t.co/pMsqsKYigk",0,Twitter for iPhone,
Jim Charlier,3421193845,"Denver, CO",2015-09-02 02:29:18,But apparently not concerned enough to try to reign in their runaway state DOTs using a huge windfall in federal hi… https://t.co/qiAwvPGhog,0,Twitter Web App,
Ali Young 🏳️‍🌈,381328598,"Denver, CO",2011-09-28 04:10:11,"@dumpy888 @Todds1964 @nexton9news The more extreme our climate becomes, the worse our energy bills will get. Climat… https://t.co/UTcfhixvZ0",0,Twitter for Android,
Rocky Mountain Wild,89330439,"Denver, CO",2009-11-12 00:45:40,"""Scientists have found that functionally diverse North American bird communities have been less vulnerable to clima… https://t.co/mub5yEUpVa",1,TweetDeck,
J-Dawg,26433349,"Denver, CO",2009-03-25 04:51:07,@BrianTu85458331 @GeraldKutney Climate change denying is a way different thing than climate denying don't you think… https://t.co/z259LR8d3o,0,Twitter for Android,
D Mulvey,49478588,"Denver, CO",2009-06-22 00:25:23,And some progressive policies for climate change still could be used.  The difference?  The Greek policies weren’t… https://t.co/EHiPonEmvt,0,Twitter for iPhone,
CadeAquariumsUSA,1239423242277801985,"commerce City, CO",2020-03-16 05:28:31,"Sea Urchins Keep Surviving as Marine Life Deteriorates in the Florida Keys 

https://t.co/i8eKxqcSFh 

""The finding… https://t.co/V6Ius6mzzv",0,Zoho Social,
Matt,491635376,"Denver, Colorado",2012-02-13 21:11:43,"I'm firmly in the camp of weirdos who think birthrates are worth paying attention to. 

https://t.co/J5Rs35bAJe",0,Twitter Web App,
Steve Bunten,637295673,"Aurora, CO",2012-07-16 19:29:23,"@ChuckRossDC Funny how it's always ""climate change"" says what we need to do but there's never any real people telli… https://t.co/CBDkAu4W9Z",0,Twitter Web App,
