username,userid,profile_location,created_at,text,retweet_count,source,coordinates
mastodon.social/@ifred,14161984,"Seattle, WA",2008-03-17 08:03:41,"@volkadav That weird “shit is going to go down” feeling nearly every day. If things are not breaking, it’s the red… https://t.co/i4sX8rqoBj",0,Twitter for iPhone,
Robert,1599253473438371840,"Seattle, WA",2022-12-04 04:05:37,"@ABC Climate change fixed itself, nature is healing!",0,Twitter for iPhone,
Angela W 🍊,2224434985,"Seattle, WA",2013-12-01 07:40:23,@KamVTV Is this the child that cried over climate change?,0,Twitter for iPhone,
Summer Whitesell,398431271,Seattle,2011-10-26 01:49:44,"https://t.co/KyckMPTd8e With wildfires more common from climate change, this is going to be very important. I wish… https://t.co/taCi14M6Mi",0,Twitter Web App,
𖤐¹⁴⁰ ˢʰᵒʳᵗⁱᵉ 𖤐,1273558691690606593,"Seattle, WA",2020-06-18 10:10:43,@jack_ternion How do you think EDM will change artistically within the next 10-15 years? And what type of effect wi… https://t.co/h5ds3R5siS,0,Twitter for iPhone,
grist,7215512,"Seattle, WA",2007-07-02 23:00:12,Children face a heightened risk of diarrhea after extreme weather events in regions of the world where climate chan… https://t.co/Cidy910hFU,1,Sprout Social,
Gregory Knight,34127769,By the sea,2009-04-22 01:25:56,@lmphashby @TakFujiBeats @DiamondandSilk What? I changed the subject from anti vax to man made climate change. Where do you stand?,0,Twitter for iPhone,
Torin,91740677,"Seattle, WA",2009-11-22 06:49:09,"""fully completed mass extinction within decades"" (I'm already extremely skeptical)

Followed in the next tweet by… https://t.co/7waUqQGUKs",0,Twitter for Android,
Mark Bowden,1387519174180708353,"Seattle, WA",2021-04-28 21:29:50,@greg_price11 Maybe @RepKClark should have spent less time scaring her kids about climate change and more time teac… https://t.co/CCQuuDwszS,0,Twitter for iPhone,
Todd Myers 🐟🌲🐝,35830735,"Seattle, WA",2009-04-27 19:18:13,"@electmasont Diversity is a good thing. One-size-fits-all planning models don’t work and create boring, monochromat… https://t.co/yFgOD9NZfB",0,TweetDeck,
Gregory Knight,34127769,By the sea,2009-04-22 01:25:56,@lmphashby @TakFujiBeats @DiamondandSilk The real world is reality not false conspiracy theories or playing records… https://t.co/YNLBiKytEx,0,Twitter for iPhone,
Timothy J Dunkerton,3262801500,,2015-07-01 04:04:21,"Andy, why are you a denier? A denier is simply, someone who denies that the human contribution to climate change ca… https://t.co/wpd64ZVANx",0,Twitter for iPhone,
Atom Dawg,185942110,"Seattle, WA",2010-09-02 05:43:51,@EcoSenseNow It's called climate change not global warming.  It was a smart move on their part when global warming… https://t.co/BSSf4UtWXD,0,Twitter for Android,
political psyentist,924358570736435200,"Seattle, WA",2017-10-28 19:33:51,Somehow liberals have found an even dumber way blame climate change on the daily lives of working people than the i… https://t.co/ryM3gy5q2q,0,Twitter Web App,
Steve Zemke,832025474,"Seattle, WA",2012-09-18 22:39:24,"Time to change your lawn to a habitat for wildlife and for climate resiliency!
The Guardian - ""Previous studies hav… https://t.co/q830JY54dj",0,Twitter Web App,
TreePAC.org,1157691976273162241,"Seattle, WA",2019-08-03 16:37:30,"Time to change your lawn to a habitat for wildlife and for climate resiliency!
The Guardian - ""Previous studies hav… https://t.co/3AIL4RObxM",0,Twitter Web App,
UrbanForests,1092170689950273536,"Seattle, WA",2019-02-03 21:19:18,"Time to change your lawn to a habitat for wildlife and for climate resiliency!
The Guardian - ""Previous studies hav… https://t.co/4Cy8O2WAsU",1,Twitter Web App,
Gentry Gevers,1065260059318337536,"Seattle, WA",2018-11-21 15:06:04,"Jesus didn’t come to save the earth. 

He came to save people from their sins. 

He literally said “the earth will… https://t.co/2nwTu0HYub",34,Twitter for iPhone,
Gentry Gevers,1065260059318337536,"Seattle, WA",2018-11-21 15:06:04,"Everything the left is pushing is part of the depopulation agenda. 

Climate change - you’re the carbon they’re eli… https://t.co/6mnlZIlXaG",9,Twitter for iPhone,
grist,7215512,"Seattle, WA",2007-07-02 23:00:12,Ann-Helén Laestadius’ powerful bestselling novel “Stolen” explores an Indigenous community threatened by climate ch… https://t.co/3MXopK5X9L,8,Sprout Social,
Raul,14725377,"Seattle, WA",2008-05-10 15:39:28,"@MSpygate @Sjh11269 @dutchessprim You want to debate climate change and vaccine. Sure let’s.
But before we do what… https://t.co/DdOUhjLUcJ",0,Twitter for iPhone,
Nick Touran,94520746,Seattle,2009-12-04 08:55:01,"@hickHack15 Well, for starters, nuclear waste disposal is paid for by the rate payers via the nuclear waste fund.… https://t.co/bavBpfVwww",0,Twitter Web App,
