username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Reason,1018382182929141761,"Vancouver, Canada",2018-07-15 06:30:07,"@SapporoSteve @herbivore_club Non-vegans have many difficult questions to answer:

How can you morally justify need… https://t.co/684mIuBuId",0,Twitter Web App,
MissGrannyGarcia,1256823415,Vancouver Canada,2013-03-10 11:44:44,Greta Thunberg WON’T ANSWER Basic Questions About Climate Change https://t.co/7qX64aR7ar via @YouTube A little girl… https://t.co/0ZEa4qChNN,0,Twitter Web App,
UrbanVN,3226565029,"Vancouver, British Columbia",2015-05-25 19:57:06,Survey: Mayors Concerned About Direct Impacts of Climate Change | Planetizen News As Michael Brady writes in Smart… https://t.co/M0qkWBLtb1,0,IFTTT,
Danny Blu,1519406919357661184,"Vancouver, British Columbia",2022-04-27 20:03:48,@catturd2 But it’s climate change medical coincidence,0,Twitter for iPhone,
Goetix“Demon Slayer”Clothing,1089662616736165888,"Vancouver, British Columbia",2019-01-27 23:13:07,"@wandreef @d2xj52 @WBrettWilson @CBCNews The North Pole has also moved about 3000km away since the 1900s 🤔

Climate… https://t.co/s8PmNLxmbJ",0,Twitter for iPhone,
Susan MacRae,1523021367578435590,"Vancouver, British Columbia",2022-05-07 19:26:30,@lynboyle4 @JeffreyLuscombe Yes because banning them is not really solving the problem — it’s good optics for all o… https://t.co/ggY2kPFrUH,0,Twitter for iPhone,
Rjr,1021947116422189057,"Vancouver, British Columbia",2018-07-25 02:35:54,@ECOWARRIORSS Who’s debating it if you a have credible scientific evidence that co2 is not the main cause of climat… https://t.co/YPAzQ8JoC2,0,Twitter for iPhone,
VicE🇨🇦,2740663435,Greater Vancouver,2014-08-17 22:18:16,@BryanPassifiume But…but climate change! https://t.co/oMwTRT6rbK,0,Twitter for iPhone,
CBC British Columbia,17138582,"Vancouver, British Columbia",2008-11-03 20:07:22,"Extreme weather, floods, fires and landslides related to climate change are shifting the way Canadian adventure spo… https://t.co/MQ3DzPxasu",2,Buffer,
Miles Lunn 🇨🇦🇺🇦,902966850421571584,"Vancouver, British Columbia",2017-08-30 18:50:48,@JohnPray16 @Jenni_Byrne @VoiceOfFranky @acoyne Most care about climate change which will cost a lot.  Conservative… https://t.co/pHahNld9hn,0,Twitter Web App,
✠制裁!🇬🇧,1250744691559030784,"Vancouver, British Columbia",2020-04-16 11:15:57,@followthera33it @business we thank you for the $31.4 trillion from your @gop &amp; @DNC boomers in power. and climate… https://t.co/4MXFRjB4dT,0,Twitter for iPhone,
John_CanadianCavemen,1390448443647164418,"Vancouver, BC",2021-05-06 23:28:48,"@IsisWise As things like this become more common, one day it will be you being ""debanked"" for saying the wrong thin… https://t.co/7jrzfqxqqV",0,Twitter Web App,
chantzy,18178850,"Vancouver, British Columbia",2008-12-17 01:32:04,I think this is the issue: the only people left talking a lot about climate change are those who are scared and tra… https://t.co/HgJROeMKpt,7,Twitter for iPhone,
Jerome Collins,21672026,"English Bay, Vancouver",2009-02-23 17:34:09,"Some real weirdos, and I'm not just talking anti-vax rednecks (aka libertarians). Lots of climate-change haters cla… https://t.co/6aMtKaz9Ou",1,Twitter Web App,
UBC CIS,756172514942824448,"Vancouver, British Columbia",2016-07-21 17:02:31,"UBC’s Social Justice Institute is hosting a talk on feminist responses to climate change.

When &amp; Where
Date: Wed,… https://t.co/DTWYf66ne2",0,Hootsuite Inc.,
Carol Reardon (she/her) creardon@urbanists.social,2853867383,"Vancouver, British Columbia",2014-10-31 21:49:35,@casualcactii I usually see the term used against people who support climate change action or support for social we… https://t.co/lAkUtemSt9,0,Twitter for iPhone,
Marc 🇨🇦🇧🇷,1585197828045156353,"Vancouver, British Columbia",2022-10-26 09:13:24,"@wiseoldelf99 @HettrickMichael @scotiabank duh. They were TeRrOrIsTs. Government said so.

They are identified thro… https://t.co/YKgpzH4Oba",0,Twitter for Android,
Greg Hernandez,372900907,"Vancouver, BC",2011-09-13 16:40:36,@WholeMarsBlog Climate change is a hoax. Send them paper towels and let’s get back to the pressing business of stopping the steal.,0,Twitter for iPhone,
Jimmy Scrambles 🤠🇨🇦🎃 🐧 🦞,1379217473476567040,Vancouver BC,2021-04-05 23:41:02,I think a major difference between old environmental issues and climate change is that it's a lot harder to get awa… https://t.co/TUFZNuomGX,4,Twitter for Android,
M.R.F. = My Rights & Freedoms,185013797,Vancouver BC,2010-08-31 01:12:43,"@MikeHudema Destruction was created by the same people that attend the WEF at Davos in their private jets.  
The sa… https://t.co/gqfzq6LlIL",0,Twitter Web App,
Carol Reardon (she/her) creardon@urbanists.social,2853867383,"Vancouver, British Columbia",2014-10-31 21:49:35,@DownHooligan @ItsDeanBlundell Are you admitting that she did have a good reason to laugh when Rebel News suggested… https://t.co/h1noSGs2Oj,0,Twitter for iPad,
Brandon Macdonald,1066342350,"Vancouver, BC",2013-01-06 18:21:44,"@cassiajohnson @MiningCatalyst When I said ""destructive"", I wasn't implying there couldn't be remediation and a ret… https://t.co/qlxmpn04mT",0,Twitter Web App,
